                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3796,                 1.1251,                0.98453,                0.52675,                0.40847,                0.42221,                0.25293,                 1.3197,                 1.0431,                0.97673,               0.067005,             0.00033328,             0.00033328
                      2,                 1.3757,                 1.1201,                0.98274,                0.53056,                0.41725,                0.43336,                0.26429,                 1.3021,                0.99545,                0.96813,               0.033988,             0.00064997,             0.00064997
                      3,                 1.4061,                 1.2185,                 0.9975,                0.47401,                0.37038,                0.37336,                0.22654,                 1.3492,                 1.0999,                0.98499,             0.00095515,                0.00095,                0.00095
                      4,                 1.4098,                 1.1853,                 1.0002,                0.49278,                0.39442,                0.40175,                0.24437,                 1.3287,                 1.0502,                0.97808,             0.00092508,             0.00092508,             0.00092508
                      5,                 1.3756,                 1.1197,                0.99079,                0.51139,                0.39999,                  0.411,                0.24893,                 1.3269,                 1.0306,                0.97547,              0.0009001,              0.0009001,              0.0009001
                      6,                 1.3753,                 1.1112,                0.98951,                0.50261,                0.39136,                0.40538,                 0.2467,                 1.3187,                 1.0341,                0.97724,             0.00087513,             0.00087513,             0.00087513
                      7,                 1.3793,                 1.1215,                 0.9899,                0.48822,                0.39557,                0.40294,                0.24584,                 1.3148,                 1.0433,                0.97702,             0.00085015,             0.00085015,             0.00085015
                      8,                 1.3836,                 1.1292,                0.99237,                0.50163,                0.39419,                0.40596,                0.24718,                 1.3204,                 1.0391,                0.97657,             0.00082518,             0.00082518,             0.00082518
                      9,                 1.3994,                 1.2145,                 1.0089,                0.47172,                0.39467,                0.38645,                0.23588,                  1.357,                 1.1102,                   1.01,              0.0008002,              0.0008002,              0.0008002
                     10,                 1.3907,                 1.1572,                 1.0086,                0.49565,                0.39236,                0.39692,                0.24205,                 1.3402,                 1.0788,                0.99693,             0.00077523,             0.00077523,             0.00077523
                     11,                 1.3814,                 1.1281,                 1.0009,                0.48917,                0.39803,                0.40288,                 0.2457,                 1.3232,                  1.059,                0.98702,             0.00075025,             0.00075025,             0.00075025
                     12,                 1.3863,                 1.1287,                 1.0012,                0.49439,                0.40223,                0.40383,                  0.244,                  1.341,                 1.0626,                0.99561,             0.00072528,             0.00072528,             0.00072528
                     13,                 1.3869,                 1.1259,                 1.0043,                0.48695,                0.39359,                0.39261,                0.24015,                 1.3295,                 1.0627,                0.99055,              0.0007003,              0.0007003,              0.0007003
                     14,                 1.3817,                 1.1147,                 1.0013,                0.50384,                  0.391,                 0.4016,                0.24496,                  1.316,                 1.0466,                 0.9839,             0.00067533,             0.00067533,             0.00067533
                     15,                 1.3832,                 1.1218,                 1.0041,                0.50518,                0.39026,                0.40432,                0.24749,                 1.3274,                 1.0473,                0.98587,             0.00065035,             0.00065035,             0.00065035
                     16,                 1.4068,                 1.2159,                 1.0128,                0.42926,                0.34511,                0.33981,                0.20018,                 1.4003,                 1.1657,                 1.0113,             0.00062538,             0.00062538,             0.00062538
                     17,                 1.4093,                 1.1777,                 1.0105,                0.50205,                 0.3881,                0.40291,                0.24403,                 1.3221,                 1.0569,                0.98935,              0.0006004,              0.0006004,              0.0006004
                     18,                 1.3916,                 1.1334,                  1.006,                0.48391,                0.39524,                0.39948,                 0.2416,                 1.3346,                 1.0619,                0.98977,             0.00057542,             0.00057542,             0.00057542
                     19,                 1.3845,                 1.1381,                 1.0044,                0.49537,                0.38977,                0.39715,                0.24123,                 1.3376,                  1.065,                0.99235,             0.00055045,             0.00055045,             0.00055045
                     20,                 1.3829,                  1.126,                  1.006,                0.49533,                0.39896,                0.40321,                0.24423,                  1.333,                 1.0548,                0.99076,             0.00052548,             0.00052548,             0.00052548
                     21,                 1.3913,                 1.1315,                 1.0049,                0.49775,                0.38961,                0.40199,                0.24459,                 1.3149,                 1.0475,                0.98642,              0.0005005,              0.0005005,              0.0005005
                     22,                  1.382,                 1.1354,                 1.0042,                0.49448,                0.39089,                0.40085,                0.24425,                 1.3231,                 1.0508,                0.98569,             0.00047552,             0.00047552,             0.00047552
                     23,                 1.3729,                 1.1131,                 1.0003,                0.49401,                0.40244,                0.40503,                0.24577,                  1.317,                  1.044,                0.98616,             0.00045055,             0.00045055,             0.00045055
                     24,                 1.3682,                 1.0949,                0.99735,                0.50058,                0.40367,                0.40762,                0.24911,                 1.3198,                 1.0372,                0.98572,             0.00042558,             0.00042558,             0.00042558
                     25,                 1.3671,                 1.0987,                0.99709,                    0.5,                 0.4105,                0.41409,                0.25226,                 1.3101,                 1.0333,                0.98299,              0.0004006,              0.0004006,              0.0004006
                     26,                 1.3684,                 1.0896,                0.99735,                 0.5109,                0.39709,                0.40919,                0.24959,                 1.3132,                 1.0371,                0.98345,             0.00037562,             0.00037562,             0.00037562
                     27,                 1.3596,                 1.1002,                0.99539,                0.49898,                0.39565,                0.40406,                0.24758,                 1.3105,                 1.0408,                0.98372,             0.00035065,             0.00035065,             0.00035065
                     28,                 1.3651,                 1.0905,                 0.9964,                0.49396,                0.40514,                0.41251,                0.25176,                 1.3083,                 1.0275,                0.98223,             0.00032567,             0.00032567,             0.00032567
                     29,                 1.3589,                  1.077,                0.99494,                0.49686,                0.40639,                0.41136,                0.24987,                 1.3119,                 1.0305,                0.98075,              0.0003007,              0.0003007,              0.0003007
                     30,                 1.3579,                 1.0739,                0.99369,                0.51813,                 0.4042,                0.41665,                0.25394,                 1.3054,                 1.0263,                0.98174,             0.00027572,             0.00027572,             0.00027572
                     31,                 1.3921,                  1.089,                0.97928,                0.49557,                0.39793,                0.40601,                0.24862,                 1.3126,                 1.0332,                0.98149,             0.00025075,             0.00025075,             0.00025075
                     32,                 1.3758,                 1.0571,                0.97431,                0.51906,                 0.3998,                 0.4174,                0.25576,                 1.3087,                 1.0264,                 0.9806,             0.00022577,             0.00022577,             0.00022577
                     33,                 1.3634,                 1.0391,                0.97093,                0.51249,                0.39944,                0.41365,                0.25397,                 1.3092,                 1.0267,                0.98064,              0.0002008,              0.0002008,              0.0002008
                     34,                 1.3584,                 1.0308,                0.97002,                0.51449,                0.40309,                0.41636,                0.25446,                 1.3087,                 1.0276,                0.98178,             0.00017583,             0.00017583,             0.00017583
                     35,                 1.3554,                 1.0263,                0.96882,                0.51533,                0.39957,                0.41185,                0.25224,                 1.3085,                 1.0337,                0.97792,             0.00015085,             0.00015085,             0.00015085
                     36,                 1.3475,                 1.0093,                0.96442,                0.51152,                0.40341,                0.41774,                0.25665,                 1.3057,                 1.0255,                0.97848,             0.00012587,             0.00012587,             0.00012587
